Source;Target;Weight
188;1330;50.0
188;13336;100.0
188;13504;50.0
188;13594;50.0
188;137;50.0
188;13834;50.0
188;14081;50.0
188;14244;50.0
188;14359;50.0
188;14360;50.0
188;1438;50.0
188;14743;50.0
188;1516;50.0
188;15311;50.0
188;15319;50.0
188;15503;50.0
188;15522;50.0
188;15559;50.0
188;15644;50.0
188;16061;50.0
188;16185;100.0
188;16190;50.0
188;16232;50.0
188;16302;50.0
188;16305;50.0
188;16324;50.0
188;16466;50.0
188;16586;50.0
188;1773;50.0
188;1783;50.0
188;1805;50.0
188;1984;50.0
188;2104;50.0
188;2121;50.0
188;2157;50.0
188;2321;50.0
188;2382;50.0
188;2826;50.0
188;3107;50.0
188;3191;50.0
188;3348;50.0
188;3614;50.0
188;3739;100.0
188;4184;50.0
188;4320;50.0
188;4499;50.0
188;455;50.0
188;4737;50.0
188;4825;50.0
188;5127;50.0
188;5128;50.0
188;5348;50.0
188;5536;50.0
188;5644;50.0
188;5720;50.0
188;5758;50.0
188;5836;50.0
188;5878;50.0
188;5961;50.0
188;6142;50.0
188;6148;50.0
188;622;50.0
188;6300;50.0
188;6636;50.0
188;6798;50.0
188;6812;50.0
188;6933;50.0
188;7030;50.0
188;703;50.0
188;7211;100.0
188;7296;50.0
188;7525;50.0
188;8078;50.0
188;8169;50.0
188;8241;50.0
188;834;50.0
188;8423;50.0
188;845;50.0
188;8540;50.0
188;9487;50.0
188;9513;50.0
188;9722;50.0
188;9932;50.0
189;13267;100.0
189;13336;100.0
189;16185;100.0
189;3739;100.0
189;7211;100.0
190;13336;100.0
190;16185;100.0
190;3739;100.0
190;7211;100.0
191;13267;100.0
191;13336;100.0
191;16185;100.0
191;3739;100.0
191;7211;100.0
192;10223;100.0
192;13336;100.0
192;16185;100.0
192;3739;100.0
192;7211;100.0
193;13267;100.0
193;13336;100.0
193;16185;100.0
193;3739;100.0
193;7211;100.0
194;13336;100.0
194;16185;100.0
194;3739;100.0
194;7211;100.0
195;10223;100.0
195;13336;100.0
195;16185;100.0
195;2301;10.0
195;3739;100.0
195;4972;10.0
195;7211;100.0
195;8142;10.0
195;9489;10.0
196;13267;100.0
196;13336;100.0
196;16185;100.0
196;3739;100.0
196;7211;100.0
197;13336;100.0
197;16185;100.0
197;3739;100.0
197;7211;100.0
198;13336;100.0
198;16185;100.0
198;3739;100.0
198;7211;100.0
199;13267;100.0
199;13336;100.0
199;16185;100.0
199;3739;100.0
199;7211;100.0
200;13267;100.0
200;13336;100.0
200;16185;100.0
200;3739;100.0
200;7211;100.0
201;13336;100.0
201;16185;100.0
201;3739;100.0
201;7211;100.0
202;13267;100.0
202;13336;100.0
